,episode,URL,start_timestamp,start,end,question,context
0,Episode 90,https://www.youtube.com/watch?v=jlK5tsUuEP0,2:07 ,127.0,963.0, Twitter subpoenas the besties! ,
1,Episode 90,https://www.youtube.com/watch?v=jlK5tsUuEP0,16:03 ,963.0,2050.0, Markets overview: dead cat bounce or have we hit the bottom? ,
2,Episode 90,https://www.youtube.com/watch?v=jlK5tsUuEP0,34:10 ,2050.0,0.0," De globalization trends, Pelosi's Taiwan visit",
3,Episode 91,https://www.youtube.com/watch?v=TlWgTNGkNe0,3:02 ,182.0,1679.0," Where Masa and SoftBank went wrong, why VC isn't scaleable, Vision Fund impact ",
4,Episode 91,https://www.youtube.com/watch?v=TlWgTNGkNe0,27:59 ,1679.0,2206.0, Metrics that signify a bubble or the top of a market ,
5,Episode 91,https://www.youtube.com/watch?v=TlWgTNGkNe0,36:46 ,2206.0,3045.0, US macroeconomic picture ,
6,Episode 91,https://www.youtube.com/watch?v=TlWgTNGkNe0,50:45 ,3045.0,0.0," FBI raids Mar a Lago, Trump back in news",
7,Episode 92,https://www.youtube.com/watch?v=nId3Jy5bjrY,7:19 ,439.0,1532.0, Adam Neumann raises $350M from a16z for his new residential real estate startup Flow ,
8,Episode 92,https://www.youtube.com/watch?v=nId3Jy5bjrY,25:32 ,1532.0,2741.0," Housing policy: Bay Area, Houston, Miami differences ",
9,Episode 92,https://www.youtube.com/watch?v=nId3Jy5bjrY,45:41 ,2741.0,3669.0," China, Saudi Arabia, Russia increase relations: should the US be worried? ",
10,Episode 92,https://www.youtube.com/watch?v=nId3Jy5bjrY,61:09 ,3669.0,5387.0," Inflation Reduction Act signed into law: climate change impact, CBO scorecard, IRS beefed up, carbon tax, big pharma pricing, and more ",
11,Episode 92,https://www.youtube.com/watch?v=nId3Jy5bjrY,89:47 ,5387.0,0.0," Chamath ends his spat with Phil Hellmuth, FBI raid follow up",
12,Episode 93,https://www.youtube.com/watch?v=YRU4eNtL4g4,1:25 ,85.0,1328.0, Twitter's former head of security makes allegations against the company ,
13,Episode 93,https://www.youtube.com/watch?v=YRU4eNtL4g4,22:08 ,1328.0,2034.0," Foreign countries placing government agents in US tech companies, cloud security vulnerabilities ",
